video;train_type
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305160749.mp4;DTZ x3
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305162359.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305163314.mp4;Lok
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305165406.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305170737.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305172649.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305173756.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305175340.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305180728.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305182705.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305183718.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305185401.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305190752.mp4;RABe 511 x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305192506.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305193815.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305195349.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305200834.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305202504.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305203708.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305205358.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305210712.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305212343.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305213740.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305215303.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305220722.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305222326.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305223809.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305225226.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305231002.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305232324.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305233742.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305235256.mp4;DPZ
