video;train_type
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307105350.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307110752.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307112444.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307113054.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307115312.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307120042.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307122350.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307123721.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307125316.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307130136.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307132311.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307133730.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307135328.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307140818.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307142316.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307143722.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307145359.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307150729.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307152442.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307153849.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307155311.mp4;unknown
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307160333.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307162520.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307163809.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307165422.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307170947.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307172433.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307173150.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307175400.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307180054.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307181229.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307182146.mp4;euroCity
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307183120.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307184330.mp4;RABe 511 x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307185115.mp4;ICE
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307190827.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307191059.mp4;DPZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307192233.mp4;unknown
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307193845.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307194051.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307195400.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307200050.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307202612.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307203752.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307205438.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307210713.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307212412.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307213744.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307215239.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307220721.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307222319.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307223723.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307225308.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307230949.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307232414.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307233724.mp4;DTZ
