video;train_type
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306160737.mp4;DTZ x3
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306162428.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306163053.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306165400.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306170817.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306172535.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306173131.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306175423.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306180737.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306182449.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306183729.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306185330.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306190657.mp4;RABe 511 x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306192434.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306193727.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306195348.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306200714.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306202501.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306203713.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306205713.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306210052.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306212518.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306213311.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306215333.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306220726.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306222318.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306223818.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306225413.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306230800.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306232419.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306233815.mp4;DTZ
