video;train_class;train_type
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308122323.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308123732.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308125408.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308130721.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308132417.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308133736.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308135256.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308140742.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308142431.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308143719.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308145514.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308150737.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308152407.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308153716.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308155426.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308160737.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308162352.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308163751.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308165510.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308170732.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308172340.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308173735.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308175417.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308180902.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308182615.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308183918.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308185340.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308190707.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308192555.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308193107.mp4;DTZ x2;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308195410.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308200151.mp4;DTZ x2;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308202308.mp4;unknown;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308203709.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308205453.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308210737.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308212314.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308213733.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308215312.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308220750.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308222353.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308223055.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308225251.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308230714.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308232405.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308233725.mp4;DTZ;Trieb
