video;train_type
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612170555.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612171042.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612171810.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612172536.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612173648.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612174255.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612174552.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612175624.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612175904.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612182146.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612182801.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612183750.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612184046.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612184450.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612185218.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612185704.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612190506.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612191519.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612192649.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612195031.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612195558.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612200921.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612203034.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612203657.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612205837.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612211958.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612212444.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612212759.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612213351.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612214537.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612222923.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612223226.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612224507.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612231107.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612233148.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612233838.mp4;Trieb
